112816 263397473.1530
103268 1724 0.0710
76426 37342 0.0840
117997 105321 0.1070
31842 98671 0.1160
98955 127091 0.1320
84371 94923 0.1480
85985 20746 0.1540
100739 124865 0.1840
52944 109441 0.2100
126410 40193 0.2360
8085 120628 0.2860
20231 61824 0.2900
1609 117486 0.3120
101764 3207 0.3420
77877 108474 0.4090
30187 43605 0.4310
106559 31921 0.5020
2393 111724 0.5910
66704 79498 0.6140
105328 93055 0.6170
37141 48414 0.6200
91487 113154 0.6460
105382 59105 0.6860
58814 11616 0.6970
103651 74578 0.7100
116849 25894 0.7190
120605 92640 0.7380
68822 121175 0.7460
81045 37743 0.7700
20253 85360 0.7820
121351 81615 0.7820
125085 78383 0.8020
58168 112115 0.8040
45666 87731 0.8100
66636 13540 0.8230
69112 115151 0.8920
53148 118487 0.9180
64123 3507 0.9280
86966 87114 0.9280
121181 12692 0.9400
50294 574 0.9550
5911 96561 1.0070
34330 58473 1.0150
128540 27774 1.0190
46723 34742 1.0590
5133 105327 1.0670
68396 46326 1.0770
55773 88252 1.1150
22838 122167 1.1270
3901 46926 1.1340
61195 102638 1.1500
12672 72169 1.1770
26251 40283 1.1830
123263 119027 1.2020
99489 74347 1.2060
79011 101502 1.2220
8010 121129 1.2290
12811 38677 1.2780
39127 6819 1.3310
34771 75469 1.3460
85694 66380 1.3600
61867 81563 1.4390
111324 86924 1.5330
33227 21856 1.5830
69663 44222 1.6260
111388 30910 1.6370
80695 106349 1.6450
54887 39744 1.6480
100616 44491 1.6500
67291 77734 1.6730
107738 49373 1.6850
48473 104541 1.8360
80611 57858 1.8370
100755 88073 1.9230
91719 51212 1.9340
6513 75673 1.9910
69979 52938 2.0040
116228 96303 2.0050
43359 27865 2.0280
111924 35069 2.0350
26274 38375 2.0420
38910 84767 2.0420
31253 13432 2.0520
69541 24079 2.1180
23073 48994 2.1710
60197 55338 2.2180
7793 77409 2.2830
48844 68395 2.2960
87423 70833 2.3500
9776 26068 2.3530
2183 6422 2.3960
86569 91932 2.3960
41288 69882 2.4100
43601 109656 2.4870
88020 49830 2.5370
78606 121271 2.5700
28096 47333 2.5780
101208 106096 2.5830
101773 73500 2.5870
57239 72193 2.5930
103610 124513 2.6690
98235 102447 2.6750
30974 46634 2.7210
19073 100495 2.7290
79192 41290 2.7610
68618 77416 2.7670
79267 49543 2.7910
44083 79223 2.7990
125986 70210 2.8830
104902 108295 2.9050
72388 61692 2.9300
54883 11195 2.9640
13930 14458 3.0110
55411 46977 3.0270
127308 18179 3.0510
65187 87134 3.1000
101053 110683 3.1120
25420 12477 3.1290
19051 112857 3.1640
119330 35269 3.2110
118143 23743 3.2400
5963 117395 3.2700
94541 48989 3.2870
65330 90572 3.2890
86234 71423 3.4050
111116 75721 3.4210
49777 30338 3.4740
77166 80169 3.5150
119249 2212 3.5200
39674 121829 3.5780
99327 30270 3.6110
62925 4602 3.6480
21647 123210 3.6610
44714 97777 3.6670
122560 126 3.6680
62112 49848 3.6700
8605 41836 3.7070
66894 21481 3.7310
117296 20279 3.7460
38832 31090 3.7490
109282 25273 3.7600
89007 96050 3.7870
61586 52492 3.8160
122277 74106 3.8500
127770 30665 3.8780
63007 96451 3.9070
124766 100658 3.9420
71793 66324 4.0430
78444 39029 4.1150
100901 100824 4.1380
99801 99677 4.1570
71404 128769 4.1690
102634 39901 4.1890
26782 5598 4.2620
44003 3541 4.3400
87923 7960 4.3530
76993 88846 4.3640
18417 77713 4.4100
113949 29120 4.4190
38695 29244 4.4330
65329 86754 4.4660
14903 12315 4.4860
48710 96986 4.4910
18741 84382 4.4970
127272 116176 4.4970
48542 51677 4.5480
83968 55458 4.5830
83172 26550 4.5920
63167 83835 4.6180
69865 7755 4.6250
41300 82371 4.6320
125309 12308 4.6680
79942 95513 4.7440
77054 110762 4.7590
39492 49975 4.7670
60858 42399 4.7730
70777 32963 4.8220
2270 85545 4.8720
53902 63118 4.9560
118687 56791 4.9710
53158 53973 5.0440
25524 109037 5.0740
7190 19111 5.0920
99966 63488 5.1650
4259 52007 5.2300
7161 52065 5.2300
56769 45032 5.2440
86719 3325 5.2450
59117 37303 5.2480
41102 55587 5.2700
81057 96237 5.4400
52830 100679 5.5220
90451 87 5.5470
128766 38782 5.5880
126629 21545 5.5990
41889 128846 5.7350
41303 93496 5.7360
27397 102908 5.7480
115422 74029 5.7990
113207 83087 5.8030
44303 44173 5.8330
86299 80488 5.8420
123293 109734 5.9280
45563 36810 5.9430
110302 6847 6.0330
47649 32010 6.0620
9851 34684 6.0760
9639 14185 6.1280
2663 64417 6.1300
55744 99976 6.1940
122612 45290 6.1980
91705 70774 6.3010
49892 56425 6.3100
66679 48356 6.3110
19159 122110 6.3120
22936 75318 6.3450
41705 118199 6.3620
90491 43583 6.4390
78481 40445 6.4490
72894 70388 6.5200
67167 64217 6.5410
51080 46545 6.5470
114486 97114 6.5510
41497 88549 6.5620
6519 126017 6.6250
33947 102540 6.7280
103158 39006 6.7350
110546 29771 6.7900
126610 104065 6.8230
9531 33658 6.8330
33616 126057 6.8650
61756 98892 6.8840
88378 126458 6.9500
113647 107665 6.9690
29982 119174 7.0130
46297 95905 7.0590
33738 81329 7.0840
29281 57776 7.1170
18767 26934 7.1220
80158 46789 7.1570
80436 57368 7.2140
25813 37200 7.2500
117710 52969 7.2830
50743 7749 7.3070
62181 103135 7.3150
34354 46441 7.3460
7843 30635 7.3610
22784 80632 7.3760
99817 113054 7.3780
5340 46789 7.4050
30630 29863 7.4570
57786 20338 7.4930
71424 128276 7.5740
3580 26870 7.6270
36703 27030 7.6310
12686 24627 7.6350
60098 63883 7.6360
19062 200 7.7130
47934 12966 7.7680
63028 38579 7.9010
18501 105919 8.0060
106357 34416 8.0590
1038 81960 8.1440
90935 49123 8.1650
23417 46267 8.1700
100403 43799 8.2150
23764 65796 8.2410
87185 111944 8.2790
15340 61437 8.2840
21004 13815 8.2890
15474 73383 8.3790
73570 75092 8.4030
16645 4454 8.4490
93665 102141 8.5080
36471 5599 8.5910
107526 46456 8.5970
121193 42728 8.6060
4720 9825 8.6570
9726 93910 8.7050
101925 48440 8.7070
76900 43238 8.7390
51411 44305 8.7950
31000 116229 8.8030
71805 63066 8.8040
22071 28395 8.8260
10141 71264 8.8550
104313 92078 8.8770
100300 98024 8.9240
79678 123913 8.9550
21741 24057 8.9900
20489 28927 9.0060
103805 34298 9.0370
8383 46957 9.0610
33946 103953 9.0860
5989 124723 9.0910
101365 32217 9.1370
120362 28116 9.1610
626 76161 9.2000
101812 51310 9.2090
51513 53327 9.2540
71190 30525 9.2640
15324 83686 9.3350
60286 35378 9.3360
80271 17411 9.3640
31947 96362 9.3730
11695 49324 9.4010
45377 87133 9.4010
28707 39559 9.4060
20077 109496 9.4780
119370 121803 9.4880
117313 41856 9.5000
96029 6007 9.5070
59642 22923 9.6110
95868 109171 9.6170
103828 89413 9.6530
121264 78379 9.7690
42530 44315 9.7710
5456 3700 9.8360
121351 59228 9.9090
14511 14471 9.9150
20709 111150 9.9340
117577 80991 9.9620
77938 102104 10.1120
122111 109018 10.1240
31537 88642 10.1920
2991 45654 10.1950
43409 2874 10.2550
2076 103269 10.2720
22979 105665 10.2800
94314 102595 10.2850
127695 80940 10.2950
76573 94270 10.3030
43712 125030 10.3110
34891 12288 10.4170
51205 120107 10.4560
31150 51994 10.4690
3247 28490 10.5620
93791 31599 10.5860
71972 103903 10.5970
93137 76564 10.6220
64127 67111 10.6730
7394 16919 10.6790
23028 124888 10.7590
123396 106654 10.7730
42752 81387 10.8380
72903 3317 10.8860
104915 101039 10.9830
119462 103952 11.0450
63837 41417 11.0950
59226 95648 11.1140
61781 90426 11.1170
13708 72551 11.1280
120093 83721 11.1450
2813 36083 11.1950
54077 32771 11.2240
35253 91244 11.2360
111087 72505 11.2420
97840 81924 11.3370
109041 2176 11.3450
13053 72517 11.3650
88772 120416 11.5410
